PermitNo,Permittee,SiteNo,SiteCompany,SiteAddr1,SiteCity,SiteState,SiteZipCode,MapCategory
FA0000940,KNIK LITTLE LEAGUE - S,FA0000940,KNIK LITTLE LEAGUE - S,1800 EAGLE RIVER RD,EAGLE RIVER,AK,99577,NULL
FA0000942,O'MALLEY ON THE GREEN - SNACK BAR,FA0000942,O'MALLEY ON THE GREEN - SNACK BAR,3651 OMALLEY RD,ANCHORAGE,AK,99507,N/A
FA0000943,BROWN BEAR SALOON,FA0000943,BROWN BEAR SALOON,21000 SEWARD HWY,ANCHORAGE,AK,99503-2217,NULL
FA0000945,TESORO NORTHSTORE #002 SNACK BAR,FA0000945,TESORO NORTHSTORE #002 SNACK BAR,4608 SPENARD RD,ANCHORAGE,AK,99517-3287,03C
FA0000946,TESORO NORTHSTORE #003,FA0000946,TESORO NORTHSTORE #003,6740 LAKE OTIS PKWY,ANCHORAGE,AK,99507-2125,06B
FA0000947,TESORO NORTHSTORE #007,FA0000947,TESORO NORTHSTORE #007,7550 OLD SEWARD HWY,ANCHORAGE,AK,99518-3227,06A
FA0000948,TESORO NORTHSTORE #54 SNACKBAR,FA0000948,TESORO NORTHSTORE #54 SNACKBAR,90000 SEWARD HWY,ANCHORAGE,AK,99503-2217,NULL
FA0000953,TESORO NORTHSTORE #55 SNACKBAR,FA0000953,TESORO NORTHSTORE #55 SNACKBAR,545 MULDOON RD,ANCHORAGE,AK,99504-1507,04I
FA0000955,TESORO NORTHSTORE #61 SNACKBAR,FA0000955,TESORO NORTHSTORE #61 SNACKBAR,7221 ARCTIC BLVD,ANCHORAGE,AK,99518-2154,07H
FA0000959,HOLIDAY STATIONSTORE #611 SNACKBAR,FA0000959,HOLIDAY STATIONSTORE #611 SNACKBAR,1530 HUFFMAN RD,ANCHORAGE,AK,99515-3524,07E
FA0000960,HOLIDAY STATIONSTORE #614 SNACK,FA0000960,HOLIDAY STATIONSTORE #614 SNACK,1900 MULDOON RD,ANCHORAGE,AK,99504-2804,04H
FA0000961,ROCHELLE'S ICE CREAM - S,FA0000961,ROCHELLE'S ICE CREAM - S,37501 EKLUTNA LAKE RD,CHUGIAK,AK,99567,NULL
FA0000964,DIMOND BUS STOP SHOP,FA0000964,DIMOND BUS STOP SHOP,544 E DIMOND BLVD,ANCHORAGE,AK,99515,06A
FA0000966,HOLIDAY STATIONSTORE #616 SNACK,FA0000966,HOLIDAY STATIONSTORE #616 SNACK,12021 OLD GLENN HWY,EAGLE RIVER,AK,99567-6460,NULL
FA0000967,CAFE D'ARTA #2,FA0000967,CAFE D'ARTA #2,1600 GAMBELL ST,ANCHORAGE,AK,99501-5323,02C
FA0000969,YUKON CONCESSION,FA0000969,YUKON CONCESSION,1600 GAMBELL ST,ANCHORAGE,AK,99501-5323,02C
FA0000970,HOLIDAY STATION STORE  #620 SNACK,FA0000970,HOLIDAY STATION STORE  #620 SNACK,2900 E TUDOR RD,ANCHORAGE,AK,99507-1208,04B
FA0000972,BUS STOP SHOP SNACKBAR,FA0000972,BUS STOP SHOP SNACKBAR,700 W 6TH AVE 108,ANCHORAGE,AK,99501-2170,01C
FA0000975,HOLIDAY STATION STORE #601 SNACK,FA0000975,HOLIDAY STATION STORE #601 SNACK,1405 S BRAGAW ST,ANCHORAGE,AK,99508,02F
FA0000976,HOLIDAY STATIONSTORE #625 SNACKBAR,FA0000976,HOLIDAY STATIONSTORE #625 SNACKBAR,6828 LAKE OTIS PKWY,ANCHORAGE,AK,99507-2433,NULL
FA0000979,HOLIDAY STATIONSTORE #630 SNACKBAR,FA0000979,HOLIDAY STATIONSTORE #630 SNACKBAR,3727 SPENARD RD,ANCHORAGE,AK,99517-2675,08B
FA0000980,HOLIDAY STATION STORE #629 SNACK,FA0000980,HOLIDAY STATION STORE #629 SNACK,2025 W DIMOND BLVD,ANCHORAGE,AK,99515-1455,07F
FA0000982,HOLIDAY STATIONSTORE #631 SNACKBAR,FA0000982,HOLIDAY STATIONSTORE #631 SNACKBAR,285 MULDOON RD,ANCHORAGE,AK,99504-1501,04I
FA0000988,MULCAHY CONCESSIONS - S,FA0000988,MULCAHY CONCESSIONS - S,1600 GAMBELL ST,ANCHORAGE,AK,99501-5323,02C
FA0000993,ALPINE DINER & BAKERY,FA0000993,ALPINE DINER & BAKERY,1 ALYESKA HWY,GIRDWOOD,AK,99587,NULL
FA0000995,CARRS #1806 - BAKERY,FA0000995,CARRS #1806 - BAKERY,600 E NORTHERN LIGHTS BLVD,ANCHORAGE,AK,99503-4134,08C
FA0000998,CARRS #1809 - BAKERY,FA0000998,CARRS #1809 - BAKERY,5600 DEBARR RD,ANCHORAGE,AK,99504-2300,04E
FA0001000,CARRS #1813 - BAKERY,FA0001000,CARRS #1813 - BAKERY,1501 HUFFMAN RD,ANCHORAGE,AK,99515-4309,06F
FA0001001,CARRS #1805 - BAKERY,FA0001001,CARRS #1805 - BAKERY,1650 W NORTHERN LIGHTS BLVD,ANCHORAGE,AK,99517-3340,03B
FA0001005,CARRS #1817 - BAKERY,FA0001005,CARRS #1817 - BAKERY,7731 E NORTHERN LIGHTS BLVD,ANCHORAGE,AK,99504-3566,04H
FA0001010,MRS FIELDS COOKIES,FA0001010,MRS FIELDS COOKIES,800 E DIMOND BLVD 3-116,ANCHORAGE,AK,99515-2028,06A
FA0001011,SUBWAY OF ALASKA #23397,FA0001011,SUBWAY OF ALASKA #23397,320 W 5TH AVE 428,ANCHORAGE,AK,99501-2345,01D
FA0001012,COSTCO WHOLESALE BAKERY,FA0001012,COSTCO WHOLESALE BAKERY,330 W DIMOND BLVD,ANCHORAGE,AK,99515-1903,07H
FA0001013,COSTCO WHOLESALE # 63 - BAKERY,FA0001013,COSTCO WHOLESALE # 63 - BAKERY,4125 DEBARR RD,ANCHORAGE,AK,99508-3115,02F
FA0001025,MS ALASKAN POLAR BEAR-S,FA0001025,MS ALASKAN POLAR BEAR-S,1419 MEDFRA ST,ANCHORAGE,AK,99501-5533,02C
FA0001030,"THE ORIGINAL GOURMET ICECREAM BAR, INC - S",FA0001030,"THE ORIGINAL GOURMET ICECREAM BAR, INC - S",221 W 3RD AVE,ANCHORAGE,AK,99501,01E
FA0001055,FRED MEYER - STARBUCKS,FA0001055,FRED MEYER - STARBUCKS,2000 W DIMOND BLVD,ANCHORAGE,AK,99515-1469,07G
FA0001061,"ALASKA CLUB EAST - POOL, THE",FA0001061,"ALASKA CLUB EAST - POOL, THE",5201 E TUDOR RD,ANCHORAGE,AK,99507-1220,04D
FA0001063,ANCHORAGE COMMUNITY YMCA - POOL,FA0001063,ANCHORAGE COMMUNITY YMCA - POOL,5353  LAKE OTIS PKWY,ANCHORAGE,AK,99507-1709,04B
FA0001064,CHUGIAK HS /P & R - EAGLE RIVER,FA0001064,CHUGIAK HS /P & R - EAGLE RIVER,16525 S BIRCHWOOD LOOP RD,CHUGIAK,AK,99567,50D
FA0001066,EAST HIGH SCHOOL/P & R,FA0001066,EAST HIGH SCHOOL/P & R,4025 E NORTHERN LIGHTS BLVD,ANCHORAGE,AK,99508,02F
FA0001067,BARTLETT HIGH POOL/P & R,FA0001067,BARTLETT HIGH POOL/P & R,1101 N MULDOON RD,ANCHORAGE,AK,99504,04I
FA0001068,SERVICE HIGH POOL/P & R,FA0001068,SERVICE HIGH POOL/P & R,5577 ABBOT RD,ANCHORAGE,AK,99507,06D
FA0001069,AK PACIFIC UNIVERSITY,FA0001069,AK PACIFIC UNIVERSITY,4101 UNIVERSITY DR,ANCHORAGE,AK,99508-4625,04C
FA0001071,CAPTAIN COOK - POOL,FA0001071,CAPTAIN COOK - POOL,939 WEST 5TH AVE,ANCHORAGE,AK,99501-2032,01D
FA0001073,ANCH HILTON HEALTH CLUB,FA0001073,ANCH HILTON HEALTH CLUB,500 WEST 3RD AVE,ANCHORAGE,AK,99501-2210,01E
FA0001074,DIMOND ATHLETIC CLUB/S-POOL,FA0001074,DIMOND ATHLETIC CLUB/S-POOL,800 E DIMOND BLVD 3-127,ANCHORAGE,AK,99515-2028,06A
FA0001075,DIMOND ATHLETIC CLUB/L-POOL,FA0001075,DIMOND ATHLETIC CLUB/L-POOL,800 E DIMOND BLVD 3-127,ANCHORAGE,AK,99515-2028,06A
FA0001076,ALYESKA RESORT HOTEL POOL,FA0001076,ALYESKA RESORT HOTEL POOL,1000 ARLBERG AVE,GIRDWOOD,AK,99587,60A
FA0001079,"ALASKA CLUB NORTH - SPA, THE",FA0001079,"ALASKA CLUB NORTH - SPA, THE",700 S BRAGAW ST,ANCHORAGE,AK,99508,02E
FA0001087,"ALASKA CLUB HOT TUB, THE",FA0001087,"ALASKA CLUB HOT TUB, THE",5201 E TUDOR RD,ANCHORAGE,AK,99507-1220,04D
FA0001089,DIMOND ATHLETIC CLUB/M.HOT TUB,FA0001089,DIMOND ATHLETIC CLUB/M.HOT TUB,800 EAST DIMOND BLVD #3-127,ANCHORAGE,AK,99515-2028,06A
FA0001092,"ALASKA CLUB, THE",FA0001092,"ALASKA CLUB, THE",630 EAST TUDOR RD,ANCHORAGE,AK,99503-7322,08B
FA0001093,ALYESKA RESORT HOTEL HOTTUB,FA0001093,ALYESKA RESORT HOTEL HOTTUB,1000 ARLBERG AVE,GIRDWOOD,AK,99587,60A
FA0001273,SULLIVAN ARENA PIZZA STAND,FA0001273,SULLIVAN ARENA PIZZA STAND,1600 GAMBELL ST,ANCHORAGE,AK,99501-5323,02C
FA0001275,INLET VIEW ESPRESSO,FA0001275,INLET VIEW ESPRESSO,344 W 3RD AVE,ANCHORAGE,AK,99501,01E
FA0001277,LAS MARGARITAS,FA0001277,LAS MARGARITAS,541 W DIMOND BLVD,ANCHORAGE,AK,99515-1704,07H
FA0001278,LAS MARGARITAS- BAR,FA0001278,LAS MARGARITAS- BAR,541 W DIMOND BLVD,ANCHORAGE,AK,99515-1704,07H
FA0001282,CARRS #1817 - ORIENT EXPRESS,FA0001282,CARRS #1817 - ORIENT EXPRESS,7731 E NORTHERN LIGHTS BLVD,ANCHORAGE,AK,99504-3566,04H
FA0001286,CROSTINI CAFE,FA0001286,CROSTINI CAFE,607 W NORTHERN LIGHTS BLVD,ANCHORAGE,AK,99503-2540,03B
FA0001289,PROVIDENCE HOSPITAL - ROSE ROOM II,FA0001289,PROVIDENCE HOSPITAL - ROSE ROOM II,3200 PROVIDENCE DR,ANCHORAGE,AK,99508-4615,02A
FA0001291,FRED MEYER - RETAIL STORE,FA0001291,FRED MEYER - RETAIL STORE,7701 DEBARR RD,ANCHORAGE,AK,99504-1894,04H
FA0001292,FRED MEYER - RETAIL MEAT,FA0001292,FRED MEYER - RETAIL MEAT,7701 DEBARR RD,ANCHORAGE,AK,99504-1894,04H
FA0001293,FRED MEYER - DELI,FA0001293,FRED MEYER - DELI,7701 DEBARR RD,ANCHORAGE,AK,99504-1894,04H
FA0001299,SLEEPY DOG COFFEE CO,FA0001299,SLEEPY DOG COFFEE CO,11517 OLD GLENN HWY,EAGLE RIVER,AK,99577-7312,52B
FA0001302,FRED MEYER - RETAIL STORE,FA0001302,FRED MEYER - RETAIL STORE,2000 W DIMOND BLVD,ANCHORAGE,AK,99515-1469,07G
FA0001315,CARRS #520 - MEAT,FA0001315,CARRS #520 - MEAT,3101 PENLAND PKWY,ANCHORAGE,AK,99508-1955,02E
FA0001321,LUIGI'S PIZZA,FA0001321,LUIGI'S PIZZA,5011 ARCTIC BLVD #H,ANCHORAGE,AK,99503-7050,08A
FA0001325,MT VIEW RED APPLE MKT - MEAT,FA0001325,MT VIEW RED APPLE MKT - MEAT,131 S BRAGAW ST,ANCHORAGE,AK,99508,01A
FA0001329,HOLIDAY STATIONSTORE #628 SNACKBAR,FA0001329,HOLIDAY STATIONSTORE #628 SNACKBAR,4627 MOUNTAIN VIEW DR,ANCHORAGE,AK,99508-1821,01A
FA0001330,CARRS #1805 - ORIENT EXPRESS,FA0001330,CARRS #1805 - ORIENT EXPRESS,1650 W NORTHERN LIGHTS BLVD,ANCHORAGE,AK,99517-3340,03B
FA0001332,DON JOSE'S MEXICAN REST/BAR,FA0001332,DON JOSE'S MEXICAN REST/BAR,2052 E NORTHERN LIGHTS BLVD,ANCHORAGE,AK,99508-4101,02D
FA0001335,"CLUB SINROCK, LLC",FA0001335,"CLUB SINROCK, LLC",301 W 64TH AVE 203`,ANCHORAGE,AK,99518-1722,04A
FA0001336,HOLIDAY STATIONSTORE  #632,FA0001336,HOLIDAY STATIONSTORE  #632,801 E TUDOR RD,ANCHORAGE,AK,99503-6101,04A
FA0001343,SUBWAY OF ALASKA #14372,FA0001343,SUBWAY OF ALASKA #14372,1307 W NORTHERN LIGHTS BLVD,ANCHORAGE,AK,99503-2306,03B
FA0001346,FRED MEYER - RETAIL MEAT,FA0001346,FRED MEYER - RETAIL MEAT,2000 W DIMOND BLVD,ANCHORAGE,AK,99515-1469,07G
FA0001347,FRED MEYER - RETAIL FISH,FA0001347,FRED MEYER - RETAIL FISH,2000 W DIMOND BLVD,ANCHORAGE,AK,99515-1469,07G
FA0001348,FRED MEYER - BAKERY,FA0001348,FRED MEYER - BAKERY,2000 W DIMOND BLVD,ANCHORAGE,AK,99515-1469,07G
FA0001349,FRED MEYER - DELI,FA0001349,FRED MEYER - DELI,2000 W DIMOND BLVD,ANCHORAGE,AK,99515-1469,07G
FA0001351,FRED MEYER - RETAIL FISH,FA0001351,FRED MEYER - RETAIL FISH,7701 DEBARR RD,ANCHORAGE,AK,99504-1894,04H
FA0001356,UNCLE JOE'S PIZZERIA #2,FA0001356,UNCLE JOE'S PIZZERIA #2,6839 JEWEL LAKE RD,ANCHORAGE,AK,99502,09A
FA0001357,BEN BOEKE 1,FA0001357,BEN BOEKE 1,1600 GAMBELL ST,ANCHORAGE,AK,99501-5323,02C
FA0001358,SULLIVAN ARENA S W (Subway Kiosk),FA0001358,SULLIVAN ARENA S W (Subway Kiosk),1600 GAMBELL ST,ANCHORAGE,AK,99501-5323,02C
FA0001359,SULLIVAN ARENA N W,FA0001359,SULLIVAN ARENA N W,1600 GAMBELL ST,ANCHORAGE,AK,99501-5323,02C
FA0001364,KANSHA JAPANESE RESTAURANT,FA0001364,KANSHA JAPANESE RESTAURANT,209 E DIMOND BLVD F,ANCHORAGE,AK,99515,07H
FA0001367,TACO BELL #15248,FA0001367,TACO BELL #15248,2351 E 5TH AVE,ANCHORAGE,AK,99501,02C
FA0001369,KALADI BROTHERS COFFEE Mobile,FA0001369,KALADI BROTHERS COFFEE Mobile,6921 BRAYTON DR A,ANCHORAGE,AK,99507-5600,06B
FA0001374,ALYESKA RESORT SEVEN GLACIERS LOUNG,FA0001374,ALYESKA RESORT SEVEN GLACIERS LOUNG,1000 ARLBERG AVE,GIRDWOOD,AK,99587,60A
FA0001381,L'AROMA SOUTHSIDE,FA0001381,L'AROMA SOUTHSIDE,9900 OLD SEWARD HWY,ANCHORAGE,AK,99515-2141,06E
FA0001388,HOLIDAY STATIONSTORE #624,FA0001388,HOLIDAY STATIONSTORE #624,8803 JEWEL LAKE RD,ANCHORAGE,AK,99502-5352,09B
FA0001389,HOLIDAY STATION STORE #624 DELI,FA0001389,HOLIDAY STATION STORE #624 DELI,8803 JEWEL LAKE RD,ANCHORAGE,AK,99502-5352,09B
FA0001395,SHELL - DIMOND FOOD MART,FA0001395,SHELL - DIMOND FOOD MART,919 E DIMOND BLVD,ANCHORAGE,AK,99515-2007,06A
FA0001398,SHERATON ANCHORAGE PTARMIGAN SUSHI,FA0001398,SHERATON ANCHORAGE PTARMIGAN SUSHI,401 E 6TH AVE,ANCHORAGE,AK,99501-2638,01C
FA0001402,"ARC ESPRESSO, THE",FA0001402,"ARC ESPRESSO, THE",2211 ARCA DR,ANCHORAGE,AK,99508-3462,02F
FA0001404,TACO KING,FA0001404,TACO KING,113 W NORTHERN LIGHTS BLVD,ANCHORAGE,AK,99503-2600,03B
FA0001407,ANNA'S HEALTH FOODS,FA0001407,ANNA'S HEALTH FOODS,1403 HYDER ST,ANCHORAGE,AK,99501-5431,02C
FA0001408,HOLIDAY STATIONSTORE #632 SNACK,FA0001408,HOLIDAY STATIONSTORE #632 SNACK,801 E TUDOR RD,ANCHORAGE,AK,99503-6101,04A
FA0001413,CAMP CARLQUIST,FA0001413,CAMP CARLQUIST,22700 CAMP GORSUCH RD,CHUGIAK,AK,99567,NULL
FA0001419,MOCHA BEANS,FA0001419,MOCHA BEANS,5905 LAKE OTIS PKWY,ANCHORAGE,AK,99507-1700,04A
FA0001422,WAL-MART  STORE #2071,FA0001422,WAL-MART  STORE #2071,8900 OLD SEWARD HWY,ANCHORAGE,AK,99515-2022,06A
FA0001423,WAL-MART CONV. STORE #2070,FA0001423,WAL-MART CONV. STORE #2070,3101 A ST,ANCHORAGE,AK,99503-4008,NULL
FA0001424,McDonald's,FA0001424,McDonald's,255 MULDOON RD,ANCHORAGE,AK,99504-1501,04I
FA0001425,KALADI BROTHERS COFFEE - DOWNSTAIRS,FA0001425,KALADI BROTHERS COFFEE - DOWNSTAIRS,6921 BRAYTON DR A,ANCHORAGE,AK,99507-5600,06B
FA0001429,Uncle Joe's Pizzeria #3,FA0001429,Uncle Joe's Pizzeria #3,11700 Old Seward Hwy,ANCHORAGE,AK,99502,07E
FA0001430,ALPENGLOW ELEMENTARY,FA0001430,ALPENGLOW ELEMENTARY,19201 DRIFTWOOD BAY DR,EAGLE RIVER,AK,99577-8579,51F
FA0001431,SUBWAY OF ALASKA #13677,FA0001431,SUBWAY OF ALASKA #13677,100 MULDOON RD,ANCHORAGE,AK,99504-1403,04I
FA0001434,L'AROMA BAKERY & DELI - RESTAURANT,FA0001434,L'AROMA BAKERY & DELI - RESTAURANT,3700 OLD SEWARD HWY,ANCHORAGE,AK,99503-6037,08C
FA0001445,HUMPY'S GREAT ALASKAN ALEHOUSE,FA0001445,HUMPY'S GREAT ALASKAN ALEHOUSE,610 W 6TH AVE,ANCHORAGE,AK,99501-2225,01C
FA0001447,Crow Creek Mercantile #1839,FA0001447,Crow Creek Mercantile #1839,147 HIGHTOWER RD,GIRDWOOD,AK,99587,61C
FA0001452,AK WILDLIFE CONSERVATION CENTER - S,FA0001452,AK WILDLIFE CONSERVATION CENTER - S,MI 79 SEWARD HWY,GIRDWOOD,AK,99587,NULL
FA0001453,PIZZA HUT #11D,FA0001453,PIZZA HUT #11D,3727 Spenard DR,ANCHORAGE,AK,99517,08B
FA0001455,HUMPY'S GREAT ALASKAN ALEHOUSE,FA0001455,HUMPY'S GREAT ALASKAN ALEHOUSE,610 W 6TH AVE,ANCHORAGE,AK,99501-2225,01C
FA0001459,POLARIS K-12 SCHOOL,FA0001459,POLARIS K-12 SCHOOL,6200 ASHWOOD ST,ANCHORAGE,AK,99507-1911,04A
FA0001468,BONIFACE CHEVRON,FA0001468,BONIFACE CHEVRON,2801 BONIFACE PKWY,ANCHORAGE,AK,99504-3130,04E
FA0001470,Gallo's Mexican Restaurant,FA0001470,Gallo's Mexican Restaurant,8615 OLD SEWARD HWY,ANCHORAGE,AK,99515-2017,06A
FA0001474,HOLIDAY STATIONSTORE #628,FA0001474,HOLIDAY STATIONSTORE #628,4627 MOUNTAIN VIEW DR,ANCHORAGE,AK,99508-1821,01A
FA0001481,FRED MEYER - RETAIL STORE,FA0001481,FRED MEYER - RETAIL STORE,1000 E NORTHERN LIGHTS BLVD,ANCHORAGE,AK,99508-4218,02D
FA0001482,FRED MEYER - DELI,FA0001482,FRED MEYER - DELI,1000 E NORTHERN LIGHTS BLVD,ANCHORAGE,AK,99508-4218,02D
FA0001484,FRED MEYER - BAKERY,FA0001484,FRED MEYER - BAKERY,1000 E NORTHERN LIGHTS BLVD,ANCHORAGE,AK,99508-4218,02D
FA0001485,FRED MEYER - RETAIL FISH,FA0001485,FRED MEYER - RETAIL FISH,1000 E NORTHERN LIGHTS BLVD,ANCHORAGE,AK,99508-4218,02D
FA0001486,FRED MEYER - RETAIL MEAT,FA0001486,FRED MEYER - RETAIL MEAT,1000 E NORTHERN LIGHTS BLVD,ANCHORAGE,AK,99508-4218,02D
FA0001488,China Lights Oriental Cuisine LLC,FA0001488,China Lights Oriental Cuisine LLC,9220 Old Seward Hwy.,ANCHORAGE,AK,99515-2129,06A
FA0001497,NORTHSTAR CONCESSIONS,FA0001497,NORTHSTAR CONCESSIONS,110 E FIREWEED LN,ANCHORAGE,AK,99503-2702,03B
FA0001498,SULLIVAN ARENA - SOUTH MAIN,FA0001498,SULLIVAN ARENA - SOUTH MAIN,1600 GAMBELL ST,ANCHORAGE,AK,99501-5323,02C
FA0001500,SULLIVAN ARENA - S W PORT,FA0001500,SULLIVAN ARENA - S W PORT,1600 GAMBELL ST,ANCHORAGE,AK,99501-5323,02C
FA0001507,"NEW CENTRAL MARKET, THE",FA0001507,"NEW CENTRAL MARKET, THE",555 W NORTHERN LIGHTS BLVD #105,ANCHORAGE,AK,99503-2501,03B
FA0001518,FOOD BANK OF ALASKA,FA0001518,FOOD BANK OF ALASKA,2121 SPAR AVE,ANCHORAGE,AK,99501-1855,01E
FA0001519,"NEW CENTRAL MARKET PROCESSING, THE",FA0001519,"NEW CENTRAL MARKET PROCESSING, THE",555 W NORTHERN LIGHTS BLVD #100,ANCHORAGE,AK,99503-2501,03B
FA0001524,CHESTER PARK CORP.,FA0001524,CHESTER PARK CORP.,2020 MULDOON RD,ANCHORAGE,AK,99504-3664,04H
FA0001530,KASUUN ELEMENTARY,FA0001530,KASUUN ELEMENTARY,4000 E 68TH AVE,ANCHORAGE,AK,99507-2530,06B
FA0001534,KINCAID ELEMENTARY,FA0001534,KINCAID ELEMENTARY,4900 RASPBERRY RD,ANCHORAGE,AK,99502-1900,09A
FA0001539,HOLIDAY STATIONSTORE #610 SNACKBAR,FA0001539,HOLIDAY STATIONSTORE #610 SNACKBAR,1500 E 5TH AVE,ANCHORAGE,AK,99501-2835,02C
FA0001540,WILLIAM TYSON ELEMENTARY,FA0001540,WILLIAM TYSON ELEMENTARY,2801 RICHMOND AVE,ANCHORAGE,AK,99508-1099,01A
FA0001546,CARLOS MEXICAN RESTAURANT BAR,FA0001546,CARLOS MEXICAN RESTAURANT BAR,11401 OLD SEWARD HWY,ANCHORAGE,AK,99515-3041,06F
FA0001560,GOLDENVIEW MIDDLE SCHOOL,FA0001560,GOLDENVIEW MIDDLE SCHOOL,15800 GOLDEN VIEW DR,ANCHORAGE,AK,99516-4924,06I
FA0001561,MIRROR LAKE MIDDLE SCHOOL,FA0001561,MIRROR LAKE MIDDLE SCHOOL,22901 LAKE HILL DR,CHUGIAK,AK,99567-5584,NULL
FA0001563,BISCOTTI'S ESPRESSO,FA0001563,BISCOTTI'S ESPRESSO,1200 AIRPORT HEIGHTS DR,ANCHORAGE,AK,99508-2944,02E
FA0001571,BPX EXPLORATION CAFE - CATERING,FA0001571,BPX EXPLORATION CAFE - CATERING,900 E BENSON BLVD,ANCHORAGE,AK,99508-4254,NULL
FA0001582,HACIENDA MEXICAN REST./BAR,FA0001582,HACIENDA MEXICAN REST./BAR,6307 DEBARR RD,ANCHORAGE,AK,99504-1783,04H
FA0001595,EDDIES SPORTS BAR,FA0001595,EDDIES SPORTS BAR,6300 OLD SEWARD HWY,ANCHORAGE,AK,99518-1807,04A
FA0001597,NORTHERN DELIGHTS FINE CANDIES,FA0001597,NORTHERN DELIGHTS FINE CANDIES,600 E NORTHERN LIGHTS BLVD 190,ANCHORAGE,AK,99503-4134,08C
FA0001598,WEST HIGH SCHOOL POOL/P & R,FA0001598,WEST HIGH SCHOOL POOL/P & R,1700 HILLCREST DR,ANCHORAGE,AK,99517-1347,03A
FA0001599,WEST HIGH SCHOOL,FA0001599,WEST HIGH SCHOOL,1700 HILLCREST DR,ANCHORAGE,AK,99517-1347,03A
FA0001600,FAMOUS WOK,FA0001600,FAMOUS WOK,320 W 5TH AVE 408,ANCHORAGE,AK,99501-2345,01C
FA0001602,MAYA ESPRESSO,FA0001602,MAYA ESPRESSO,4300 B ST #107,ANCHORAGE,AK,99503-5955,08B
FA0001606,CROSSROADS SNACK BAR,FA0001606,CROSSROADS SNACK BAR,1402 GAMBELL ST,ANCHORAGE,AK,99501-5338,02B
FA0001611,SUBWAY OF ALASKA #15777,FA0001611,SUBWAY OF ALASKA #15777,4608 SPENARD RD,ANCHORAGE,AK,99517-3287,03C
FA0001627,AMORE PIZZA,FA0001627,AMORE PIZZA,2932 BONIFACE PKWY,ANCHORAGE,AK,99504,04E
FA0001630,HYPER BEAN ESPRESSO,FA0001630,HYPER BEAN ESPRESSO,100 W FIREWEED LN,ANCHORAGE,AK,99503-2604,NULL
FA0001631,CARRS #520 -  DELI,FA0001631,CARRS #520 -  DELI,3101 PENLAND PKWY,ANCHORAGE,AK,99508-1955,02E
FA0001632,CARRS #520 - BAKERY,FA0001632,CARRS #520 - BAKERY,3101 PENLAND PKWY,ANCHORAGE,AK,99508-1955,02E
FA0001634,GLACIER BREWHOUSE,FA0001634,GLACIER BREWHOUSE,737 W 5TH AVE 115,ANCHORAGE,AK,99501-2129,01D
FA0001638,CAFE ESPRESSO,FA0001638,CAFE ESPRESSO,1010 W FIREWEED LN,ANCHORAGE,AK,99503,03B
FA0001639,ARBY'S 5TH AVE MALL,FA0001639,ARBY'S 5TH AVE MALL,320 W 5TH AVE 400,ANCHORAGE,AK,99501-2345,01C
FA0001644,THAI GARDEN,FA0001644,THAI GARDEN,320 W 5TH AVE 412,ANCHORAGE,AK,99501-2345,01C
FA0001646,"BARNES & NOBLE BOOKSELLERS, INC",FA0001646,"BARNES & NOBLE BOOKSELLERS, INC",200 E NORTHERN LIGHTS BLVD,ANCHORAGE,AK,99503,08C
FA0001651,GALLO'S MEXICAN RESTAURANT-BAR,FA0001651,GALLO'S MEXICAN RESTAURANT-BAR,8615 OLD SEWARD HWY,ANCHORAGE,AK,99515-2017,06A
FA0001655,M.L.K. FOOD BANK,FA0001655,M.L.K. FOOD BANK,855 E 20TH AVE,ANCHORAGE,AK,99501-5801,02A
FA0001662,MCDONALD'S,FA0001662,MCDONALD'S,3035 MULDOON RD,ANCHORAGE,AK,99504-5500,04I
FA0001671,COURTHOUSE FOOD CACHE,FA0001671,COURTHOUSE FOOD CACHE,825 W 4TH AVE,ANCHORAGE,AK,99501-2004,01D
FA0001674,FIREWEED CHEVRON TNI,FA0001674,FIREWEED CHEVRON TNI,2500 SEWARD HWY,ANCHORAGE,AK,99503-2804,03B
FA0001682,ERNIE TURNER CENTER / CITC,FA0001682,ERNIE TURNER CENTER / CITC,4330 S BRAGAW ST,ANCHORAGE,AK,99508,NULL
FA0001684,MCFERON CHEVRON -- GROCERY,FA0001684,MCFERON CHEVRON -- GROCERY,1465 W NORTHERN LIGHTS BLVD,ANCHORAGE,AK,99503-2307,03B
FA0001686,EDDIES SPORTS BAR,FA0001686,EDDIES SPORTS BAR,6300 OLD SEWARD HWY,ANCHORAGE,AK,99518-1807,04A
FA0001694,TERRA BELLA (ONE),FA0001694,TERRA BELLA (ONE),2932 C ST,ANCHORAGE,AK,99503-3912,NULL
FA0001699,DIMOND CENTER CINEMAS,FA0001699,DIMOND CENTER CINEMAS,800 E DIMOND BLVD,ANCHORAGE,AK,99515-2028,06A
FA0001700,MARRIOTT COURTYARD BAR,FA0001700,MARRIOTT COURTYARD BAR,4901 SPENARD RD,ANCHORAGE,AK,99517-3295,05A
FA0001701,NEW SAGAYA CITY MARKET - GROCERY,FA0001701,NEW SAGAYA CITY MARKET - GROCERY,900 W 13TH AVE,ANCHORAGE,AK,99501-4318,02B
FA0001703,Marriott Courtyard Restaurant,FA0001703,Marriott Courtyard Restaurant,4901 Spenard Rd,ANCHORAGE,AK,99517-3295,05A
